"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 15:22:57 GMT 2021","Sat Aug 14 15:23:27 GMT 2021","29431","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Sat Aug 14 15:22:15 GMT 2021","Sat Aug 14 15:22:32 GMT 2021","16887","vizsgaremek","test_nyitolinkek","","","","test_3",""
"passed","Sat Aug 14 15:20:49 GMT 2021","Sat Aug 14 15:22:11 GMT 2021","82383","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Sat Aug 14 15:24:18 GMT 2021","Sat Aug 14 15:24:31 GMT 2021","13029","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Sat Aug 14 15:23:52 GMT 2021","Sat Aug 14 15:24:05 GMT 2021","12795","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Sat Aug 14 15:22:32 GMT 2021","Sat Aug 14 15:22:57 GMT 2021","25543","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Sat Aug 14 15:24:05 GMT 2021","Sat Aug 14 15:24:18 GMT 2021","12849","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Sat Aug 14 15:24:31 GMT 2021","Sat Aug 14 15:24:44 GMT 2021","12960","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
"passed","Sat Aug 14 15:22:11 GMT 2021","Sat Aug 14 15:22:15 GMT 2021","3692","vizsgaremek","test_nyitolinkek","","","","test_1",""
"passed","Sat Aug 14 15:23:27 GMT 2021","Sat Aug 14 15:23:52 GMT 2021","25417","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
