"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 12:00:50 GMT 2021","Fri Aug 13 12:01:20 GMT 2021","30094","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Fri Aug 13 12:01:20 GMT 2021","Fri Aug 13 12:01:45 GMT 2021","25657","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
"passed","Fri Aug 13 12:00:06 GMT 2021","Fri Aug 13 12:00:23 GMT 2021","16939","vizsgaremek","test_nyitolinkek","","","","test_3",""
"passed","Fri Aug 13 12:01:58 GMT 2021","Fri Aug 13 12:02:11 GMT 2021","13023","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Fri Aug 13 12:00:03 GMT 2021","Fri Aug 13 12:00:06 GMT 2021","3805","vizsgaremek","test_nyitolinkek","","","","test_1",""
"passed","Fri Aug 13 12:00:23 GMT 2021","Fri Aug 13 12:00:50 GMT 2021","26192","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Fri Aug 13 12:02:11 GMT 2021","Fri Aug 13 12:02:24 GMT 2021","13117","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Fri Aug 13 12:01:45 GMT 2021","Fri Aug 13 12:01:58 GMT 2021","12916","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Fri Aug 13 11:59:08 GMT 2021","Fri Aug 13 12:00:03 GMT 2021","54453","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Fri Aug 13 12:02:24 GMT 2021","Fri Aug 13 12:02:38 GMT 2021","13165","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
