"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 09:37:15 GMT 2021","Sun Aug 15 09:37:28 GMT 2021","13086","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Sun Aug 15 09:35:11 GMT 2021","Sun Aug 15 09:35:28 GMT 2021","16866","vizsgaremek","test_nyitolinkek","","","","test_3",""
"passed","Sun Aug 15 09:37:28 GMT 2021","Sun Aug 15 09:37:41 GMT 2021","12999","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
"passed","Sun Aug 15 09:37:02 GMT 2021","Sun Aug 15 09:37:15 GMT 2021","12868","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Sun Aug 15 09:33:50 GMT 2021","Sun Aug 15 09:35:07 GMT 2021","77282","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Sun Aug 15 09:35:54 GMT 2021","Sun Aug 15 09:36:23 GMT 2021","29852","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Sun Aug 15 09:36:49 GMT 2021","Sun Aug 15 09:37:02 GMT 2021","12773","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Sun Aug 15 09:36:23 GMT 2021","Sun Aug 15 09:36:49 GMT 2021","25525","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
"passed","Sun Aug 15 09:35:07 GMT 2021","Sun Aug 15 09:35:11 GMT 2021","3701","vizsgaremek","test_nyitolinkek","","","","test_1",""
"passed","Sun Aug 15 09:35:28 GMT 2021","Sun Aug 15 09:35:54 GMT 2021","25718","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Sun Aug 15 09:37:41 GMT 2021","Sun Aug 15 09:40:22 GMT 2021","160890","vizsgaremek","test_tomeges_reg","","","","test_reg_mezok01",""
