"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 14 15:07:51 GMT 2021","Sat Aug 14 15:08:17 GMT 2021","26041","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Sat Aug 14 15:09:26 GMT 2021","Sat Aug 14 15:09:39 GMT 2021","12962","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Sat Aug 14 15:09:52 GMT 2021","Sat Aug 14 15:10:05 GMT 2021","13167","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
"passed","Sat Aug 14 15:08:47 GMT 2021","Sat Aug 14 15:09:13 GMT 2021","25874","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
"broken","Sat Aug 14 15:07:26 GMT 2021","Sat Aug 14 15:07:30 GMT 2021","3176","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Sat Aug 14 15:09:13 GMT 2021","Sat Aug 14 15:09:26 GMT 2021","12928","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Sat Aug 14 15:08:17 GMT 2021","Sat Aug 14 15:08:47 GMT 2021","30036","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Sat Aug 14 15:09:39 GMT 2021","Sat Aug 14 15:09:52 GMT 2021","13145","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Sat Aug 14 15:07:34 GMT 2021","Sat Aug 14 15:07:51 GMT 2021","16940","vizsgaremek","test_nyitolinkek","","","","test_3",""
"passed","Sat Aug 14 15:07:30 GMT 2021","Sat Aug 14 15:07:34 GMT 2021","4056","vizsgaremek","test_nyitolinkek","","","","test_1",""
