"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 13 18:19:25 GMT 2021","Fri Aug 13 18:19:50 GMT 2021","25390","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Fri Aug 13 18:21:10 GMT 2021","Fri Aug 13 18:21:23 GMT 2021","12753","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Fri Aug 13 18:21:23 GMT 2021","Fri Aug 13 18:21:36 GMT 2021","12895","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
"passed","Fri Aug 13 18:19:50 GMT 2021","Fri Aug 13 18:20:20 GMT 2021","29491","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Fri Aug 13 18:19:08 GMT 2021","Fri Aug 13 18:19:25 GMT 2021","16755","vizsgaremek","test_nyitolinkek","","","","test_3",""
"passed","Fri Aug 13 18:20:45 GMT 2021","Fri Aug 13 18:20:58 GMT 2021","12781","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Fri Aug 13 18:19:04 GMT 2021","Fri Aug 13 18:19:08 GMT 2021","3573","vizsgaremek","test_nyitolinkek","","","","test_1",""
"passed","Fri Aug 13 18:18:00 GMT 2021","Fri Aug 13 18:19:04 GMT 2021","64034","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Fri Aug 13 18:20:58 GMT 2021","Fri Aug 13 18:21:10 GMT 2021","12720","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Fri Aug 13 18:20:20 GMT 2021","Fri Aug 13 18:20:45 GMT 2021","25204","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
