"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 15 14:49:49 GMT 2021","Sun Aug 15 14:50:02 GMT 2021","12838","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok05",""
"passed","Sun Aug 15 14:49:23 GMT 2021","Sun Aug 15 14:49:36 GMT 2021","12703","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok02",""
"passed","Sun Aug 15 14:47:51 GMT 2021","Sun Aug 15 14:48:16 GMT 2021","25373","vizsgaremek","test_popular_tags_listazasa","","","","test_popular_tags",""
"passed","Sun Aug 15 14:49:36 GMT 2021","Sun Aug 15 14:49:49 GMT 2021","12819","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok03",""
"passed","Sun Aug 15 14:50:02 GMT 2021","Sun Aug 15 14:52:40 GMT 2021","158311","vizsgaremek","test_tomeges_reg","","","","test_reg_mezok01",""
"passed","Sun Aug 15 14:48:46 GMT 2021","Sun Aug 15 14:49:11 GMT 2021","25016","vizsgaremek","test_signup_jok","","","","test_reg_mezok01",""
"passed","Sun Aug 15 14:46:15 GMT 2021","Sun Aug 15 14:47:31 GMT 2021","75676","vizsgaremek","test_articles_ir_olvas_torol","","","","test_articles_ir_olvas_torol",""
"passed","Sun Aug 15 14:47:31 GMT 2021","Sun Aug 15 14:47:34 GMT 2021","3560","vizsgaremek","test_nyitolinkek","","","","test_1",""
"passed","Sun Aug 15 14:49:11 GMT 2021","Sun Aug 15 14:49:23 GMT 2021","12658","vizsgaremek","test_signup_rosszak","","","","test_reg_mezok01",""
"passed","Sun Aug 15 14:48:16 GMT 2021","Sun Aug 15 14:48:46 GMT 2021","29291","vizsgaremek","test_settings_oda-vissza","","","","test_settings_mindenfele",""
"passed","Sun Aug 15 14:47:34 GMT 2021","Sun Aug 15 14:47:51 GMT 2021","16741","vizsgaremek","test_nyitolinkek","","","","test_3",""
